text : 39健康网首页	link : http://www.39.net/
text : 39问医生	link : http://ask.39.net/
text : 名医在线	link : http://myzx.39.net/
text : 就医助手	link : http://yyk.39.net/
text : 药品通	link : http://ypk.39.net/
text : 疾病百科	link : https://jbk.39.net/
text : 新闻	link : http://news.39.net/
text : 诊疗	link : http://zl.39.net/
text : 药品	link : http://drug.39.net/
text : 医院在线	link : https://jbk.39.net/yiyuanzaixian/
text : 登录	link : javascript:void(0);
text : 注册	link : javascript:void(0);
text : 消息0	link : http://my.39.net/UserCenter/default.aspx?menu=inbox
text : 	link : http://my.39.net/UserCenter/default.aspx
text : 我的提问	link : http://my.39.net/UserCenter/default.aspx?menu=myquestions
text : 个人管理	link : http://my.39.net/
text : 修改资料	link : http://my.39.net/UserCenter/Default.aspx?menu=profile
text : 退出	link : javascript:void(0);
text : 	link : /
text : 疾病症状	link : /bw/
text : 检查	link : /jiancha/
text : 手术	link : /shoushu/
text : 症状自查	link : /zicha/
text : 问医生	link : http://ask.39.net/addtopic.aspx
text : 	link : javascript:void(0)
text : 内科	link : /bw/neike/
text : 外科	link : /bw/waike/
text : 妇产科	link : /bw/fuchanke/
text : 儿科	link : /bw/erke/
text : 男科	link : /bw/nanke/
text : 皮肤性病	link : /bw/pifuxingbing/
text : 五官科	link : /bw/wuguanke/
text : 肿瘤科	link : /bw/zhongliuke/
text : 传染科	link : /bw/chuanranke/
text : 精神科	link : /bw/jingshenxinlike/
text : 内科	link : /bw/neike/
text : 慢性酒精中毒	link : http://jbk.39.net/mxjzd/
text : 脾囊肿	link : http://jbk.39.net/pnz1/
text : DF-2败血症的皮肤表现	link : http://jbk.39.net/df2bxzdpfbx/
text : 维生素E缺乏病	link : http://jbk.39.net/wsseqfb/
text : 小儿过敏性紫瘢	link : http://jbk.39.net/xegmxzb/
text : 维生素K缺乏病	link : http://jbk.39.net/wsskqfb/
text : 结节性脂膜炎	link : http://jbk.39.net/jjxzmy/
text : 嗜酸性细胞增多症	link : http://jbk.39.net/ssxxbzdz/
text : 原发性免疫缺陷病	link : http://jbk.39.net/yfxmyqxb/
text : 慢性肉芽肿病	link : http://jbk.39.net/mxryzb/
text : 更多疾病>>	link : /bw/neike/
text : 呼吸内科	link : /bw/huxineike/
text : 肺炎	link : http://jbk.39.net/fy/
text : 哮喘	link : http://jbk.39.net/xc/
